Date,Open,High,Low,Close,Volume,,,,,,,,,,,,
7/12/2024 12:00,2407.98,2408.32,2400.35,2405.16,16038,,,,,,,,,,,,
7/12/2024 16:00,2405.16,2406.05,2391.44,2404.89,18887,,,,,,,,,,,,
7/12/2024 20:00,2404.94,2418.17,2403.97,2417.64,16720,,,,,,,,,,,,
7/13/2024 0:00,2417.64,2417.86,2411.22,2411.48,5854,,,,,,,,,,,,
8/1/2024 4:00,2447.59,2458.34,2444.22,2450.07,13119,,,,,,,,,,,,
8/1/2024 8:00,2450.07,2451.36,2437.4,2447.85,18271,,,,,,,,,,,,
8/1/2024 12:00,2447.8,2448.84,2430.22,2432.54,20352,,,,,,,,,,,,
8/1/2024 16:00,2432.52,2459.74,2432.01,2459.16,20823,,,,,,,,,,,,
8/1/2024 20:00,2459.17,2462.21,2435.8,2439.94,22421,,,,,,,,,,,,
8/2/2024 0:00,2440.04,2446.5,2434.96,2446.32,10192,,,,,,,,,,,,
8/2/2024 4:00,2447.16,2452.31,2434.69,2448.33,13940,,,,,,,,,,,,
8/2/2024 8:00,2448.33,2468.43,2447.35,2467.4,17363,,,,,,,,,,,,
8/2/2024 12:00,2467.04,2467.82,2460.22,2462.98,18753,,,,,,,,,,,,
8/2/2024 16:00,2462.97,2477.59,2455.75,2469,20924,,,,,,,,,,,,
8/2/2024 20:00,2468.8,2474.38,2410.95,2427.1,23293,,,,,,,,,,,,
8/3/2024 0:00,2427.06,2442.68,2425.68,2442.44,7725,,,,,,,,,,,,
8/5/2024 0:00,2445,2447.6,2437.81,2441.95,5321,,,,,,,,,,,,
8/5/2024 4:00,2441.87,2446.07,2413.83,2443.42,45248,,,,,,,,,,,,
8/5/2024 8:00,2443.43,2458.79,2422.07,2428.46,47447,,,,,,,,,,,,
8/5/2024 12:00,2428.56,2445.42,2402.72,2405.44,49969,,,,,,,,,,,,
8/5/2024 16:00,2405.43,2407.96,2364.23,2398.73,71357,,,,,,,,,,,,
8/5/2024 20:00,2398.71,2412.03,2398.67,2405.4,56203,,,,,,,,,,,,
8/6/2024 0:00,2405.41,2413.02,2405.13,2409.07,19165,,,,,,,,,,,,
8/6/2024 4:00,2408.94,2418.22,2404.26,2407.26,44562,,,,,,,,,,,,
8/6/2024 8:00,2407.25,2412.55,2394.77,2402.55,47531,,,,,,,,,,,,
8/6/2024 12:00,2402.53,2416.22,2402.11,2411.66,47720,,,,,,,,,,,,
8/6/2024 16:00,2411.68,2415.22,2386.24,2386.92,66312,,,,,,,,,,,,
8/6/2024 20:00,2386.96,2395.87,2381.64,2392.87,48554,,,,,,,,,,,,
8/7/2024 0:00,2392.86,2392.95,2386.34,2388.52,18032,,,,,,,,,,,,
8/7/2024 4:00,2388.48,2389.62,2378.76,2383.48,39892,,,,,,,,,,,,
8/7/2024 8:00,2383.62,2397.49,2383.05,2394.06,40234,,,,,,,,,,,,
8/7/2024 12:00,2394.05,2398.06,2387.96,2397.77,41278,,,,,,,,,,,,
8/7/2024 16:00,2397.79,2406.98,2394.25,2398.9,53424,,,,,,,,,,,,
8/7/2024 20:00,2398.85,2401.77,2383.74,2386.49,45016,,,,,,,,,,,,
8/8/2024 0:00,2386.5,2390.4,2380.9,2383.53,16018,,,,,,,,,,,,
8/8/2024 4:00,2383.54,2391.24,2382.64,2389.92,29816,,,,,,,,,,,,
8/8/2024 8:00,2389.91,2400.67,2388.62,2398.61,27016,,,,,,,,,,,,
8/8/2024 12:00,2398.63,2406.32,2392.8,2405.32,26734,,,,,,,,,,,,
8/8/2024 16:00,2405.33,2424.25,2402.26,2412.64,50855,,,,,,,,,,,,
8/8/2024 20:00,2412.63,2426.26,2412.37,2422.67,34015,,,,,,,,,,,,
8/9/2024 0:00,2422.68,2427.98,2421.51,2425.64,13364,,,,,,,,,,,,
8/9/2024 4:00,2425.62,2428.85,2420.05,2422.1,23404,,,,,,,,,,,,
8/9/2024 8:00,2422.14,2424.42,2416.71,2420.76,23478,,,,,,,,,,,,
8/9/2024 12:00,2420.8,2431.42,2420.25,2430.74,22447,,,,,,,,,,,,
8/9/2024 16:00,2430.7,2435.9,2421.01,2429.19,42520,,,,2024.08.09,8:00,2420.63,2431.42,2420.25,2430.38,22367,,Original
8/9/2024 20:00,2429.18,2436.95,2426.44,2428.82,31042,,,,,,,,,,,,
8/10/2024 0:00,2428.83,2431.08,2427.3,2430.87,10390,,,,,8/9/2024 8:00,2422.14,2424.42,2416.71,2420.76,23478,,Resample Including Last
,,,,,,,,,,,,,,,,,
,,,,,,,,,,8/9/2024 8:00,2420.63,2431.42,2420.25,2430.38,22367,,Reample Excluding Last 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,2024.08.09,12:00,2430.47,2435.9,2421.01,2428.66,42449,,Original
,,,,,,,,,,,,,,,,,
,,,,,,,,,,8/9/2024 12:00,2420.8,2431.42,2420.25,2430.74,22447,,Resample Including Last
,,,,,,,,,,,,,,,,,
